number,site,long,lat,species,sex,date,time,wt,svl,tail,bt,at,month,note_book,time_orig,season,diel,adult,dug,total_v
15005,KLI,17.55,-30.08,Nucras tessellata,M,1969-11-22,NA,NA,NA,NA,NA,NA,11,3.Kalahari-ERP-FieldBook-16074-18527.pdf,NA,spring,diurnal,yes,no,0.2
15007,KLI,19.08,-29.17,Pachydactylus rugosus,M,1969-11-22,NA,NA,NA,NA,NA,NA,11,3.Kalahari-ERP-FieldBook-16074-18527.pdf,NA,spring,nocturnal,NA,no,NA
15008,KLI,22,-27.52,Trachylepis sparsa,F,1969-11-23,NA,NA,NA,NA,NA,NA,11,8.Kalahari-RBH-FieldBook-19961-21537.pdf,NA,spring,diurnal,yes,no,0.1
15009,KLI,21.58,-27.54,Agama aculeata,M,1969-11-24,NA,NA,NA,NA,NA,NA,11,1.Kalahari-RBH-FieldBook 15002-165073,NA,spring,diurnal,yes,no,1.2
15010,KLI,21.5,-28.01,Agama aculeata,F,1969-11-24,NA,NA,NA,NA,NA,NA,11,1.Kalahari-RBH-FieldBook 15002-165073,NA,spring,diurnal,yes,no,2.9
15011,KLI,21.5,-28.01,Agama aculeata,M,1969-11-24,NA,NA,NA,NA,NA,NA,11,1.Kalahari-RBH-FieldBook 15002-165073,NA,spring,diurnal,yes,no,1.05
15012,KLI,21.5,-28.01,Agama aculeata,M,1969-11-24,NA,NA,NA,NA,NA,NA,11,1.Kalahari-RBH-FieldBook 15002-165073,NA,spring,diurnal,yes,no,0.5
15013,KLI,21.5,-28.01,Agama aculeata,M,1969-11-24,NA,NA,NA,NA,NA,NA,11,2.Kalahari-LC-FieldBook-15001-16385.pdf,NA,spring,diurnal,yes,no,1.4
15014,KLI,21.5,-28.01,Pedioplanis lineoocellata,M,1969-11-24,NA,NA,NA,NA,NA,NA,11,3.Kalahari-ERP-FieldBook-16074-18527.pdf,NA,spring,diurnal,NA,no,0.3
15015,KLI,21.5,-28.01,Pedioplanis lineoocellata,M,1969-11-24,NA,NA,NA,NA,NA,NA,11,3.Kalahari-ERP-FieldBook-16074-18527.pdf,NA,spring,diurnal,yes,no,0.235
15016,KLI,21.5,-28.01,Pedioplanis lineoocellata,M,1969-11-24,NA,NA,NA,NA,NA,NA,11,3.Kalahari-ERP-FieldBook-16074-18527.pdf,NA,spring,diurnal,yes,no,0.085
15017,KLI,21.5,-28.01,Pedioplanis lineoocellata,M,1969-11-24,NA,NA,NA,NA,NA,NA,11,3.Kalahari-ERP-FieldBook-16074-18527.pdf,NA,spring,diurnal,yes,no,0.16
15018,KLI,21.5,-28.01,Pedioplanis lineoocellata,F,1969-11-24,NA,NA,NA,NA,NA,NA,11,3.Kalahari-ERP-FieldBook-16074-18527.pdf,NA,spring,diurnal,yes,no,0.19
15019,KLI,21.58,-27.54,Agama aculeata,M,1969-11-22,NA,NA,NA,NA,NA,NA,11,2.Kalahari-LC-FieldBook-15001-16385.pdf,NA,spring,diurnal,yes,no,1
15020,KLI,21.58,-27.54,Agama aculeata,F,1969-11-24,NA,NA,NA,NA,NA,NA,11,2.Kalahari-LC-FieldBook-15001-16385.pdf,NA,spring,diurnal,yes,no,0.6
15021,KLI,21.51,-27.59,Agama aculeata,M,1969-11-24,NA,NA,NA,NA,NA,NA,11,2.Kalahari-LC-FieldBook-15001-16385.pdf,NA,spring,diurnal,yes,no,1
15022,KLI,21.5,-28.01,Agama aculeata,F,1969-11-24,NA,NA,NA,NA,NA,NA,11,2.Kalahari-LC-FieldBook-15001-16385.pdf,NA,spring,diurnal,yes,no,0.3
