Number,Area,Genus,species,Genus_species,AT,BT,Time,Day,Month,Year,Date,Pit,SVL,Tail,TailBT,TailCond,Wt,Sex,Age_est,RTW,RTL,RTVol,LTW,LTL,LTVol,TotTVol,Ovid_RNo,Ovid_RVol,Ovid_LNo,Ovid_LVol,CS,OvidTotVol,RCM,FB_R,FB_L,FBTotal,ParasitesP.N,CentipedesN,CentipedesV,AranaeN,AranaeV,ScorpionN,ScorpionV,AntsN,AntsV,WaspN,WaspV,OrthoptN,OrthoptV,ThysanuraN,ThysanuraV,BlattariaN,BlattariaV,PhasmidN,PhasmidV,ColeopteraN,ColeopteraV,IsopteraWN,IsopteraSN,IsopteraRN,IsopteraN,IsopteraV,HomopteraN,HomopteraV,HemipteraN,HemipteraV,DermapteraN,DermapteraV,DipteraN,DipteraV,LepidoptN,LepidoptV,EggsN,EggsV,LarvaeN,LarvaeV,OtherInsN,OtherInsV,NematodesN,NematodesV,VertebratesN,VertebratesV,VegN,VegV,UnIDN,UnIDV,Wood.Rocks,OtherN,OtherV,TOTVOL,Notes
26866,R,Brachyurophis,fasciolatus,Brachyurophis_fasciolatus,,,,12,10,1992,12/10/1992,W13,310,41,,Wh,16,MALE,Adult,,11,,,11,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,,0,0,<-empty
26868,R,Brachyurophis,fasciolatus,Brachyurophis_fasciolatus,,,,12,10,1992,12/10/1992,N6,311,42,,Wh,16,MALE,Adult,,12,,,10,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,,0,0,<-empty
26889,R,Brachyurophis,fasciolatus,Brachyurophis_fasciolatus,,,,13,10,1992,13/10/1992,E14,165,14,,Wh,2.6,MALE,Adult,,2,,,2,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,,0,0,<-empty
28099,R,Brachyurophis,fasciolatus,Brachyurophis_fasciolatus,,,,30,11,1992,30/11/1992,W13,297,41,,Wh,15,MALE,Adult,,8,,,6,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,,0,0,<-empty
28214,R,Brachyurophis,fasciolatus,Brachyurophis_fasciolatus,,,,9,12,1992,9/12/1992,W15,287,43,,Wh,14,MALE,Adult,,10,,,8,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,,0,0,<-empty
29363,R,Brachyurophis,fasciolatus,Brachyurophis_fasciolatus,,,,13,11,1995,13/11/1995,W7,280,37,,Wh,11.6,MALE,Adult,,9,,,10,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.25,,0,,0,,,0,0.25,Ctenotus hands and tail - unidentified object
31819,R,Brachyurophis,fasciolatus,Brachyurophis_fasciolatus,,,,5,10,1998,5/10/1998,E28,310,43,,Wh,14.6,MALE,Adult,,14,,,11,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,,0,0,<-empty
32027,R,Brachyurophis,fasciolatus,Brachyurophis_fasciolatus,,,,14,10,1998,14/10/1998,N12,281,44,,Wh,8.4,MALE,Adult,,11,,,8,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,,0,0,<-empty
33396,R,Brachyurophis,fasciolatus,Brachyurophis_fasciolatus,,,,22,10,2003,22/10/2003,N6,283,37,,Wh,10.5,FEMALE,Adult,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,,0,0,<-empty
33967,R,Brachyurophis,fasciolatus,Brachyurophis_fasciolatus,,,,27,11,2003,27/11/2003,E8,285,36,,Wh,10.2,FEMALE,Adult,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,,0,0,<-empty
33408,R,Brachyurophis,fasciolatus,Brachyurophis_fasciolatus,,,,22,10,2003,22/10/2003,W13,282,45,,Wh,11.7,MALE,Adult,,14,,,9,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,,0,0,<-empty
33501,R,Brachyurophis,fasciolatus,Brachyurophis_fasciolatus,,,,27,10,2003,27/10/2003,N17,286,39,,Wh,8.5,MALE,Adult,,12,,,10,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,,0,0,<-empty
33777,R,Brachyurophis,fasciolatus,Brachyurophis_fasciolatus,,,,17,11,2003,17/11/2003,N17,287,37,,Wh,9.2,MALE,Adult,,13,,,10,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,,0,0,<-empty
33842,R,Brachyurophis,fasciolatus,Brachyurophis_fasciolatus,,,,20,11,2003,20/11/2003,E6,282,35,,Wh,11.1,MALE,Adult,,10,,,11,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,,0,,0,,,0,0.1,Ctenotus sp. -tail tip
33881,R,Brachyurophis,fasciolatus,Brachyurophis_fasciolatus,,,,23,11,2003,23/11/2003,N22,283,27,,Wh,9,MALE,Adult,,9,,,7,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,,0,0,<-empty
33414,B,Brachyurophis,fasciolatus,Brachyurophis_fasciolatus,,,,22,10,2003,22/10/2003,B30,124,18,,Wh,1.3,UNK,UNK,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,,0,0,
