Number,Site,ID,Genus,species,Genus species,Sex_old,Age_est,Sex,AT,BT,Time,Date,Day,Month,Year,DMY
10448,E,10448_E,Varanus,eremius,Varanus_eremius,UNK,UNK,UNK,36,41,1435,20,20,1,1966,20/1/1966
10544,A,10544_A,Gehyra,variegata,Gehyra_variegata,UNK,UNK,UNK,34.2,39.6,1207,1,1,2,1966,1/2/1966
10545,A,10545_A,Gehyra,variegata,Gehyra_variegata,UNK,UNK,UNK,35.8,39,1215,1,1,2,1966,1/2/1966
10963,A,10963_A,Gehyra,variegata,Gehyra_variegata,UNK,UNK,UNK,29.2,31.1,1730,19,19,3,1966,19/3/1966
11167,A,11167_A,Gehyra,variegata,Gehyra_variegata,UNK,UNK,UNK,33,38.2,1315,30,30,4,1966,30/4/1966
11636,I,11636_I,Varanus,eremius,Varanus_eremius,UNK,UNK,UNK,27,,1400,12,12,6,1966,12/6/1966
9824,I,9824_I,Varanus,gouldii,Varanus_gouldii,UNK,UNK,UNK,,,,11066,1,10,1966,1/10/1966
9825,I,9825_I,Heteronotia,binoei,Heteronotia_binoei,UNK,UNK,UNK,,,1500,11066,1,10,1966,1/10/1966
9826,I,9826_I,Heteronotia,binoei,Heteronotia_binoei,UNK,UNK,UNK,,23.4,1530,11066,1,10,1966,1/10/1966
9828,I,9828_I,Ctenophorus,reticulatus,Ctenophorus_reticulatus,UNK,UNK,UNK,,31.8,1515,31066,3,10,1966,3/10/1966
9830,I,9830_I,Ctenophorus,reticulatus,Ctenophorus_reticulatus,UNK,UNK,UNK,,31.6,1524,31066,3,10,1966,3/10/1966
9831,I,9831_I,Ctenophorus,reticulatus,Ctenophorus_reticulatus,UNK,UNK,UNK,,29.2,1535,31066,3,10,1966,3/10/1966
9832,I,9832_I,Lophognathus,longirostris,Lophognathus_longirostris,UNK,UNK,UNK,,37.6,1115,41066,4,10,1966,4/10/1966
9836,I,9836_I,Ctenophorus,caudicinctus,Ctenophorus_caudicinctus,UNK,UNK,UNK,37.2,,,51066,5,10,1966,5/10/1966
9839,I,9839_I,Ctenophorus,nuchalis,Ctenophorus_nuchalis,UNK,UNK,UNK,,39.4,,61066,6,10,1966,6/10/1966
9486,I,9486_I,Lialis,burtonis,Lialis_burtonis,UNK,UNK,UNK,25.4,25.8,1705,81066,8,10,1966,8/10/1966
9847,I,9847_I,Lialis,burtonis,Lialis_burtonis,UNK,UNK,UNK,25.4,25.8,1700,81066,8,10,1966,8/10/1966
9843,I,9843_I,Ctenophorus,nuchalis,Ctenophorus_nuchalis,UNK,UNK,UNK,,33.4,,91066,9,10,1966,9/10/1966
9845,I,9845_I,Varanus,gouldii,Varanus_gouldii,UNK,UNK,UNK,32,39.2,900,91066,9,10,1966,9/10/1966
9849,I,9849_I,Ctenophorus,caudicinctus,Ctenophorus_caudicinctus,UNK,UNK,UNK,37.2,41.8,1220,1066,12,10,1966,12/10/1966
9852,I,9852_I,Varanus,gouldii,Varanus_gouldii,UNK,UNK,UNK,,,,151066,15,10,1966,15/10/1966
9854,I,9854_I,Ctenotus,leonhardii,Ctenotus_leonhardii,UNK,UNK,UNK,,36.4,1020,161066,16,10,1966,16/10/1966
9856,I,9856_I,Varanus,gouldii,Varanus_gouldii,UNK,UNK,UNK,,,,161066,16,10,1966,16/10/1966
9857,I,9857_I,Rhynchoedura,ornata,Rhynchoedura_ornata,UNK,UNK,UNK,28.6,28.6,1730,161066,16,10,1966,16/10/1966
9858, ,9858_ ,Diplodactylus,conspicillatus,Diplodactylus_conspicillatus,UNK,UNK,UNK,25.8,25.8,174,161066,16,10,1966,16/10/1966
9859,I,9859_I,Heteronotia,binoei,Heteronotia_binoei,UNK,UNK,UNK,26.8,26.8,1800,161066,16,10,1966,16/10/1966
9860,I,9860_I,Gehyra,variegata,Gehyra_variegata,UNK,UNK,UNK,,27.8,1810,161066,16,10,1966,16/10/1966
9862,I,9862_I,Rhynchoedura,ornata,Rhynchoedura_ornata,UNK,UNK,UNK,,,1830,161066,16,10,1966,16/10/1966
9863,I,9863_I,Gehyra,variegata,Gehyra_variegata,UNK,UNK,UNK,,,1840,161066,16,10,1966,16/10/1966
9864,I,9864_I,Rhynchoedura,ornata,Rhynchoedura_ornata,UNK,UNK,UNK,,,1835,161066,16,10,1966,16/10/1966
9865,I,9865_I,Rhynchoedura,ornata,Rhynchoedura_ornata,UNK,UNK,UNK,,,1835,161066,16,10,1966,16/10/1966
9869,I,9869_I,Heteronotia,binoei,Heteronotia_binoei,UNK,UNK,UNK,,,1835,161066,16,10,1966,16/10/1966
9868,I,9868_I,Varanus,gouldii,Varanus_gouldii,UNK,UNK,UNK,,,1010,171066,17,10,1966,17/10/1966
9870,I,9870_I,Ctenotus,calurus,Ctenotus_calurus,UNK,UNK,UNK,27.2,36.6,945,191066,19,10,1966,19/10/1966
