SVL,HL,HW,HD,JL,FLL,HLL,FFL,HFL,Tail,Site,Number,Genus_species
71,18.1,12.8,9.6,20.3,27,41,11.5,18,0,A,10103,Caimanops_amphiboluroides
69,17.4,12.2,9.2,19.2,27.5,39.5,12,18,0,A,10104,Caimanops_amphiboluroides
85.5,21.1,14.6,10.9,23.6,33.5,47.5,15,22,0,A,10147,Caimanops_amphiboluroides
74.5,18.1,12.7,9.5,20,29,39.5,12,18,0,A,10148,Caimanops_amphiboluroides
84,18.9,14.5,10.6,21.5,33,45.5,14.5,20,0, ,10165,Caimanops_amphiboluroides
69,17.5,12.4,10,19.4,28,39,13,19,0, ,10216,Caimanops_amphiboluroides
66.5,16.8,12.4,10.1,18.6,27.5,36.5,11,16.5,0, ,10218,Caimanops_amphiboluroides
96.5,22.5,15.4,12.2,25.6,34.5,46.5,15,19,0,A,10233,Caimanops_amphiboluroides
81.5,20.1,14.1,10.2,22.6,31,46.5,13.5,21.5,0,A,10544,Caimanops_amphiboluroides
79.5,18.5,13.5,10.5,21,29.5,44.5,13,18,0,A,10545,Caimanops_amphiboluroides
42,9.6,7.5,6.1,11.2,15.5,22,7.5,10.5,0,A,10963,Caimanops_amphiboluroides
37,9.5,7.8,5.8,10.7,14.5,20.5,6.5,10,0,A,11167,Caimanops_amphiboluroides
69,15.8,11,8.9,17.7,26.5,39,11,17.5,0,I,13643,Caimanops_amphiboluroides
36.5,7.8,4.8,3.1,9.2,12,15,5,7,0, ,9787,Cryptoblepharus_plagiocephalus
32,6.7,4.3,3.3,8.3,11,13.5,5,6.5,0,A,10010,Cryptoblepharus_plagiocephalus
32,7.3,4.6,3.2,8.9,11.5,13.5,4.5,6.5,0, ,10115,Cryptoblepharus_plagiocephalus
41,8.7,5.3,3.7,10.2,13,16,5.5,7.5,0, ,10220,Cryptoblepharus_plagiocephalus
43.5,9,5.7,4.1,10.6,12.5,15.5,5.5,7,0, ,10271,Cryptoblepharus_plagiocephalus
36,8.2,4.7,3.2,9.9,11.5,14,5.5,6.5,0,A,10534,Cryptoblepharus_plagiocephalus
30.5,6.9,0,0,8.2,11,13,4.5,7,0,A,10537,Cryptoblepharus_plagiocephalus
37,7.7,4.9,3.2,9.7,12,14.5,5.5,7,0,A,10600,Cryptoblepharus_plagiocephalus
37.5,8,5.1,3.4,9.9,12,15,5,8,0,L,10806,Cryptoblepharus_plagiocephalus
37,8.5,5.4,3.8,10.4,13,16,5.5,8,0,L,10807,Cryptoblepharus_plagiocephalus
