Area,Number,Genus,Species,Genus_species,Ovarian,Oviductal,CS,Cvol,Wt,SVL,RCM
I,13467,Ctenophorus,caudicinctus,Ctenophorus_caudicinctus,3/3 x 3mm,,6,,,,
I,13491,Ctenophorus,caudicinctus,Ctenophorus_caudicinctus,,3/3 x 13mm,6,1.68,11,,0.153
I,13492,Ctenophorus,caudicinctus,Ctenophorus_caudicinctus,,3/3 x 14 mm,6,1.76,8.7,,0.202
I,13495,Ctenophorus,caudicinctus,Ctenophorus_caudicinctus,,,4,1.35,11,,0.123
I,13500,Ctenophorus,caudicinctus,Ctenophorus_caudicinctus,,2/2 x 13mm,4,1.38,8.7,,0.159
I,13501,Ctenophorus,caudicinctus,Ctenophorus_caudicinctus,2/1 x 5 mm,,3,,,,
I,13510,Ctenophorus,caudicinctus,Ctenophorus_caudicinctus,,4/3 x 15mm,7,2.74,12.5,,0.219
I,13538,Ctenophorus,caudicinctus,Ctenophorus_caudicinctus,,3/3 x 14mm,6,1.85,14.5,,0.128
I,13543,Ctenophorus,caudicinctus,Ctenophorus_caudicinctus,,2/2 x 12mm,4,1.26,8.2,,0.154
I,13545,Ctenophorus,caudicinctus,Ctenophorus_caudicinctus,,3/1 x 14mm,4,1.31,7.7,,0.17
I,13550,Ctenophorus,caudicinctus,Ctenophorus_caudicinctus,,3/3 x 13mm,6,1.58,9,,0.176
I,13551,Ctenophorus,caudicinctus,Ctenophorus_caudicinctus,2/2 x6mm,,4,,,,
I,13567,Ctenophorus,caudicinctus,Ctenophorus_caudicinctus,4/3 x 8mm,,7,,,,
I,13569,Ctenophorus,caudicinctus,Ctenophorus_caudicinctus,2/3 x 5mm,,5,,,,
I,13582,Ctenophorus,caudicinctus,Ctenophorus_caudicinctus,,3/4 x 13mm,7,2.21,12.7,,0.174
R,1813,Ctenophorus,clayi,Ctenophorus_clayi,,2/0 x 7mm,2,,,,
R,1849,Ctenophorus,clayi,Ctenophorus_clayi,2/1 x 3mm,,3,,,,
R,1867,Ctenophorus,clayi,Ctenophorus_clayi,,1/1 x 15mm,2,0.7,4,,0.175
R,1884,Ctenophorus,clayi,Ctenophorus_clayi,,1/1 x 12-14mm,2,0.55,3.2,,0.171875
R,2219,Ctenophorus,clayi,Ctenophorus_clayi,,1/1 x 13-14mm,2,0.65,3.1,,0.209677419
R,2662,Ctenophorus,clayi,Ctenophorus_clayi,,1/0 x 12.3mm,1,0.35,3.3,,0.106060606
I,12946,Ctenophorus,clayi,Ctenophorus_clayi,,1/1 x 11mm,3,0.35,4,,0.088
