Number,Genus_species,Sex,SVL,Wt,Tail,RTL,LTL,TotTL,TotTVoL
26866,Brachyurophis_fasciolatus,MALE,310,16,41,11,11,22,
26868,Brachyurophis_fasciolatus,MALE,311,16,42,12,10,22,
26889,Brachyurophis_fasciolatus,MALE,165,2.6,14,2,2,4,
28099,Brachyurophis_fasciolatus,MALE,297,15,41,8,6,14,
28214,Brachyurophis_fasciolatus,MALE,287,14,43,10,8,18,
29363,Brachyurophis_fasciolatus,MALE,280,11.6,37,9,10,19,
31819,Brachyurophis_fasciolatus,MALE,310,14.6,43,14,11,25,
32027,Brachyurophis_fasciolatus,MALE,281,8.4,44,11,8,19,
33408,Brachyurophis_fasciolatus,MALE,282,11.7,45,14,9,23,
33501,Brachyurophis_fasciolatus,MALE,286,8.5,39,12,10,22,
33777,Brachyurophis_fasciolatus,MALE,287,9.2,37,13,10,23,
33842,Brachyurophis_fasciolatus,MALE,282,11.1,35,10,11,21,
33881,Brachyurophis_fasciolatus,MALE,283,9,27,9,7,16,
27993,Brachyurophis_semifasciatus,MALE,247,6.1,26,7,5,12,
28897,Brachyurophis_semifasciatus,MALE,268,8.6,30,8,9,17,
29018,Brachyurophis_semifasciatus,MALE,260,6.8,27,7,6,13,
29426,Brachyurophis_semifasciatus,MALE,282,9.3,29,8,8,16,
29704,Brachyurophis_semifasciatus,MALE,290,11.8,33,7,7,14,
29764,Brachyurophis_semifasciatus,MALE,265,9,30,5,5,10,
29779,Brachyurophis_semifasciatus,MALE,253,8.4,25,8,7,15,
30062,Brachyurophis_semifasciatus,MALE,265,8.4,25,9,6,15,
30223,Brachyurophis_semifasciatus,MALE,277,10,28,9,7,16,
30543,Brachyurophis_semifasciatus,MALE,340,12.5,20,5,2,7,
30594,Brachyurophis_semifasciatus,MALE,305,13.6,31,6,6,12,
2003,Brachyurophis_semifasciatus,MALE,130,1.2,11,1.2,1,2.2,
2066,Brachyurophis_semifasciatus,MALE,227,6.2,32,6.2,11,17.2,
2069,Brachyurophis_semifasciatus,MALE,290,10.1,39,10.1,10,20.1,
2151,Brachyurophis_semifasciatus,MALE,228,4.4,23,4.4,4,8.4,
2180,Brachyurophis_semifasciatus,MALE,270,8.4,34,8.4,10,18.4,
2234,Brachyurophis_semifasciatus,MALE,245,6.4,24,6.4,5,11.4,
31936,Brachyurophis_semifasciatus,MALE,281,8.1,29,6,9,15,
31939,Brachyurophis_semifasciatus,MALE,310,13.5,33,11,10,21,
31940,Brachyurophis_semifasciatus,MALE,285,9.3,28,9,9,18,
